12-01-2017 22:21:45.553,-,AT," ,0013A2004098F7FC,XBEE 802.15.4,10EC,usbserial-AI02RM7Q - 9600/8/N/1/N,1"

12-01-2017 22:21:08.768,0,RECV,3631302C3336362C3636350D0A
12-01-2017 22:21:08.819,1,RECV,3631
12-01-2017 22:21:08.870,2,RECV,342C3337362C3634320D0A
12-01-2017 22:21:08.921,3,RECV,3631352C3336302C3635380D0A
12-01-2017 22:21:09.022,4,RECV,3631342C3335372C3636300D0A
12-01-2017 22:21:09.073,5,RECV,3631392C33
12-01-2017 22:21:09.127,6,RECV,37332C3635340D0A
12-01-2017 22:21:09.178,7,RECV,3539312C3336302C3636310D0A
12-01-2017 22:21:09.283,8,RECV,3538342C3336352C3638310D0A
12-01-2017 22:21:09.337,9,RECV,3537312C3334302C37
12-01-2017 22:21:09.389,10,RECV,31320D0A
12-01-2017 22:21:09.439,11,RECV,3537312C3430382C3638320D0A
12-01-2017 22:21:09.546,12,RECV,3537302C3339342C3639350D0A
12-01-2017 22:21:09.596,13,RECV,3537322C3339332C363932
12-01-2017 22:21:09.647,14,RECV,0D0A
12-01-2017 22:21:09.700,15,RECV,3536342C3431342C3637350D0A
12-01-2017 22:21:09.754,16,RECV,353539
12-01-2017 22:21:09.805,17,RECV,2C3338362C3637310D0A
12-01-2017 22:21:09.858,18,RECV,3537312C3336372C3638390D0A
12-01-2017 22:21:09.963,19,RECV,3537352C3338322C3638380D0A
12-01-2017 22:21:10.016,20,RECV,3538352C3339372C3639330D0A
12-01-2017 22:21:10.121,21,RECV,3539312C3431362C3638380D0A
12-01-2017 22:21:10.173,22,RECV,3539362C3430362C3639360D0A
12-01-2017 22:21:10.278,23,RECV,3538392C3431322C3639310D0A
12-01-2017 22:21:10.332,24,RECV,3539322C34
12-01-2017 22:21:10.382,25,RECV,34352C3638300D0A
12-01-2017 22:21:10.438,26,RECV,3631302C3432362C3639300D0A
12-01-2017 22:21:10.538,27,RECV,3631362C3433382C3638380D0A
12-01-2017 22:21:10.589,28,RECV,3633312C3436312C
12-01-2017 22:21:10.641,29,RECV,3639380D0A
12-01-2017 22:21:10.693,30,RECV,3632342C3437392C3638340D0A
12-01-2017 22:21:10.795,31,RECV,3632382C3438302C3730360D0A
12-01-2017 22:21:10.847,32,RECV,3537302C3539392C363933
12-01-2017 22:21:10.900,33,RECV,0D0A
12-01-2017 22:21:10.950,34,RECV,3536312C3537382C3731310D0A
12-01-2017 22:21:11.056,35,RECV,3536342C3630322C3635390D0A
12-01-2017 22:21:11.108,36,RECV,3535372C3534372C3634390D0A
12-01-2017 22:21:11.214,37,RECV,3530302C3438342C3736390D0A
12-01-2017 22:21:11.266,38,RECV,3531392C3436
12-01-2017 22:21:11.323,39,RECV,392C3737350D0A
12-01-2017 22:21:11.372,40,RECV,3534332C3532392C3731390D0A
12-01-2017 22:21:11.480,41,RECV,3537332C3535372C3639350D0A
12-01-2017 22:21:11.532,42,RECV,3538352C3535352C3639390D0A
12-01-2017 22:21:11.638,43,RECV,3539382C3533302C3639330D0A
12-01-2017 22:21:11.690,44,RECV,3633352C3532342C3636320D0A
12-01-2017 22:21:11.792,45,RECV,3633372C3437322C3638300D0A
12-01-2017 22:21:11.896,46,RECV,3631312C3435342C3638310D0A
12-01-2017 22:21:11.950,47,RECV,3633362C3433392C3638310D0A
12-01-2017 22:21:12.053,48,RECV,3633342C3433382C3638330D0A
12-01-2017 22:21:12.159,49,RECV,3634332C3432312C3636370D0A
